City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
360,Kerrville,US,30.0474,-99.1403,74.01,29,0,10.36,clear sky
361,Smithers,CA,54.7804,-127.1743,28.27,94,100,0.74,overcast clouds
362,Manta,EC,-0.95,-80.7333,78.93,67,48,8.9,scattered clouds
363,Ahuimanu,US,21.4447,-157.8378,79.18,73,100,10.36,overcast clouds
364,Villamontes,BO,-21.25,-63.5,87.28,40,100,6.2,overcast clouds
365,Margate,GB,51.3813,1.3862,50.7,90,100,13.0,light rain
366,La Ronge,CA,55.1001,-105.2842,22.41,84,41,2.35,scattered clouds
367,Jalu,LY,29.0331,21.5482,58.19,50,46,8.72,scattered clouds
368,Beyneu,KZ,45.3167,55.2,33.93,68,50,8.95,scattered clouds
369,Ambilobe,MG,-13.2,49.05,74.84,90,94,4.74,moderate rain
370,Sindor,RU,62.8629,51.8905,-8.73,100,100,1.39,overcast clouds
371,Kulhudhuffushi,MV,6.6221,73.07,79.59,66,0,9.62,clear sky
372,Umm Kaddadah,SD,13.6017,26.6876,65.68,29,0,13.42,clear sky
373,Magistralnyy,RU,56.1725,107.4458,2.1,96,100,5.37,overcast clouds
374,Kirpilskaya,RU,45.377,39.6931,43.81,81,14,7.65,few clouds
375,Mogadishu,SO,2.0371,45.3438,78.55,77,0,21.68,clear sky
376,Big Spring,US,32.2504,-101.4787,56.23,34,0,20.71,clear sky
377,Kamenka,RU,51.3223,42.7678,41.65,93,100,16.13,overcast clouds
378,Vyyezdnoye,RU,55.3815,43.7864,27.97,98,100,4.21,light snow
379,Abha,SA,18.2164,42.5053,53.85,88,40,4.61,scattered clouds
380,San Cristobal,VE,7.7669,-72.225,77.18,55,52,2.77,broken clouds
381,Katsuura,JP,35.1333,140.3,44.02,55,94,9.8,overcast clouds
382,Porto Walter,BR,-8.2686,-72.7439,87.03,53,100,5.37,overcast clouds
383,Trebnje,SI,45.9042,15.0217,49.91,96,100,2.35,light rain
384,Dovers,VC,12.8833,-61.1833,77.92,78,3,15.75,clear sky
385,Deputatskiy,RU,69.3,139.9,-38.88,96,24,3.2,few clouds
386,Jimeta,NG,9.2833,12.4667,76.53,27,19,4.99,few clouds
387,Svetlogorsk,BY,52.6333,29.7333,40.14,68,100,16.8,overcast clouds
388,Ciudad Bolivar,VE,8.1222,-63.5497,87.46,44,100,11.63,overcast clouds
389,College,US,64.8569,-147.8028,10.58,82,40,0.0,scattered clouds
390,Berdigestyakh,RU,62.0989,126.6992,-5.24,99,100,3.53,overcast clouds
391,Hualmay,PE,-11.0964,-77.6139,73.35,75,100,8.1,overcast clouds
392,Kyshtovka,RU,56.555,76.6271,22.15,94,100,14.99,light snow
393,Dunedin,NZ,-45.8742,170.5036,59.81,95,100,1.41,overcast clouds
394,Semey,KZ,50.4111,80.2275,31.17,75,44,20.09,scattered clouds
395,Vodnyy,RU,63.5046,53.4095,-11.74,100,100,2.06,overcast clouds
396,Karratha,AU,-20.7377,116.8463,83.93,62,100,15.35,overcast clouds
397,Puerto Carreno,CO,6.189,-67.4859,91.72,38,91,12.75,overcast clouds
