City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Hithadhoo,MV,80.35,scattered clouds,-0.6,73.0833,Pebbles Inn
124,Pisco,PE,71.02,mist,-13.7,-76.2167,La Portada
136,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
138,Castro,BR,71.29,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
140,Jardim,BR,77.18,overcast clouds,-21.4803,-56.1381,Hotel Uchôa
141,Huarmey,PE,74.1,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
145,Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Aurora Alice Springs
146,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,فندق أدرار
148,Limon,CR,84.06,few clouds,10.0,-83.0333,Hotel NG
149,Bubaque,GW,79.0,clear sky,11.2833,-15.8333,Chez Julio
151,Tena,EC,80.76,light rain,-0.9833,-77.8167,Hotel Villa Belén
153,Faanui,PF,81.45,broken clouds,-16.4833,-151.75,Oa Oa Lodge
162,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
167,Mar Del Plata,AR,73.83,few clouds,-38.0023,-57.5575,Nuevo Ostende
176,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
190,Sur,OM,71.01,clear sky,22.5667,59.5289,Sur Hotel
192,Imbituba,BR,75.18,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
193,Bouake,CI,77.79,scattered clouds,7.6895,-5.0218,Hôtel Arc-En-Ciel
194,Rocha,UY,80.62,overcast clouds,-34.4833,-54.3333,Hotel Municipal
198,Cairns,AU,77.07,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
203,Namatanai,PG,78.75,light rain,-3.6667,152.4333,Namatanai Hotel
205,Mackay,AU,71.69,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
207,Bathsheba,BB,78.64,few clouds,13.2167,-59.5167,Atlantis Hotel
213,Atar,MR,74.08,clear sky,20.5169,-13.0499,فندق سكليل
216,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Tropic Hotel
221,Cabo San Lucas,MX,77.61,scattered clouds,22.8909,-109.9124,Comfort Rooms
223,San Carlos De Bariloche,AR,71.46,clear sky,-41.1456,-71.3082,Kronos
224,Omboue,GA,77.0,moderate rain,-1.5746,9.2618,Georges Faustin Aurat
235,Olinda,BR,80.1,overcast clouds,-8.0089,-34.8553,Fidji Motel
236,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Tara-Mé
244,Mandera,KE,82.83,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
247,Oistins,BB,78.53,clear sky,13.0667,-59.5333,The Abidah By Accra
258,Honiara,SB,78.17,overcast clouds,-9.4333,159.95,King Solomon Hotel
