City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Bengkulu,ID,2022-12-31 01:09:25,-3.8004,102.2655,77.23,82,100,11.52
139,Najran,SA,2022-12-31 01:09:26,17.4924,44.1277,51.71,64,5,2.86
140,Karratha,AU,2022-12-31 01:09:26,-20.7377,116.8463,89.19,52,92,11.83
141,Benicarlo,ES,2022-12-31 01:09:28,40.4165,0.4271,55.56,72,9,5.97
142,Harper,LR,2022-12-31 01:09:29,4.375,-7.7169,77.58,84,67,1.81
143,Talnakh,RU,2022-12-31 01:09:30,69.4865,88.3972,-20.87,95,39,6.17
144,Hattiesburg,US,2022-12-31 01:07:20,31.3271,-89.2903,57.45,98,20,0.0
145,Butaritari,KI,2022-12-31 01:09:30,3.0707,172.7902,79.83,81,82,13.4
146,Chuy,UY,2022-12-31 01:09:31,-33.6971,-53.4616,70.48,65,6,12.08
147,Tasiilaq,GL,2022-12-31 01:09:31,65.6145,-37.6368,5.16,62,2,6.55
148,Juneau,US,2022-12-31 01:09:32,58.3019,-134.4197,36.1,97,100,0.0
149,Aitape,PG,2022-12-31 01:09:35,-3.1374,142.3475,80.82,80,100,7.83
150,Port Macquarie,AU,2022-12-31 01:09:35,-31.4333,152.9167,74.89,76,21,7.85
151,Sambava,MG,2022-12-31 01:09:36,-14.2667,50.1667,73.18,88,8,5.17
152,Mujiayingzi,CN,2022-12-31 01:05:28,42.1167,118.7833,14.32,47,0,6.58
153,Cayenne,GF,2022-12-31 01:09:37,4.9333,-52.3333,77.04,94,75,10.36
154,Sakakah,SA,2022-12-31 01:09:10,29.9697,40.2064,47.08,67,60,11.34
155,Mansa,IN,2022-12-31 01:09:37,29.9833,75.3833,46.81,77,0,6.64
156,Puerto Ayora,EC,2022-12-31 01:09:38,-0.7393,-90.3518,72.55,97,70,1.01
157,Harbour Breton,CA,2022-12-31 01:09:39,47.4833,-55.7983,34.07,85,100,13.11
158,Macas,EC,2022-12-31 01:09:39,-2.3167,-78.1167,66.99,97,43,1.97
159,Urazovka,RU,2022-12-31 01:09:40,55.4013,45.6186,26.73,97,100,9.75
160,Arnhem,NL,2022-12-31 01:09:40,51.9667,5.9,56.1,99,75,10.36
161,Awjilah,LY,2022-12-31 01:09:41,29.1081,21.2869,53.56,75,66,6.8
162,Ponta Do Sol,PT,2022-12-31 01:09:41,32.6667,-17.1,69.01,80,100,6.26
163,Sinnamary,GF,2022-12-31 01:09:42,5.3833,-52.95,77.0,88,98,9.19
164,Roma,US,2022-12-31 01:05:11,43.2128,-75.4557,53.87,81,100,8.05
165,Honiara,SB,2022-12-31 01:09:42,-9.4333,159.95,85.64,69,96,7.18
166,Morden,CA,2022-12-31 01:09:43,49.1919,-98.1014,17.44,98,79,5.59
167,Saint-Joseph,RE,2022-12-31 01:09:43,-21.3667,55.6167,71.98,81,26,2.84
168,Comodoro Rivadavia,AR,2022-12-31 01:06:39,-45.8667,-67.5,64.26,34,0,3.44
169,Saint-Philippe,RE,2022-12-31 01:09:43,-21.3585,55.7679,72.99,80,48,5.5
170,Skjervoy,NO,2022-12-31 01:09:45,70.0311,20.9714,28.4,74,95,22.17
171,Berlevag,NO,2022-12-31 01:09:45,70.8578,29.0864,24.8,74,100,12.66
